4232_5848_5795.txt (4159.18367347, 0.0) (4218.36734694, 0.0) (4068.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 10.0))
1210_1727_2639.txt (2363.26530612, 0.0) (2712.24489796, 0.019) (2152.04081633, 0.0) (2559.18367347, 0.0, (-1000000.0, 10.0))
707_571_7346.txt (3751.02040816, 0.0) (4218.36734694, 0.0) (3957.14285714, 0.0) (4218.36734694, 0.0, (-1000000.0, 10.0))
1238_1749_3256.txt (2573.46938776, 0.0) (2695.91836735, 0.005) (2506.12244898, 0.0) (2711.2244898, 0.0, (-1000000.0, 20.0))
593_870_4788.txt (3369.3877551, 0.0) (3753.06122449, 0.0) (3310.20408163, 0.0) (3753.06122449, 0.0, (-1000000.0, 0.0))
3887_5055_5942.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4168.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 80.0))
3428_4823_3993.txt (4073.46938776, 0.0) (4218.36734694, 0.0) (4088.7755102, 0.0) (4218.36734694, 0.0, (-1000000.0, 50.0))
1962_2907_3316.txt (3345.91836735, 0.0) (3853.06122449, 0.011) (3278.57142857, 0.0) (3755.10204082, 0.0, (-1000000.0, 10.0))
2088_2730_5747.txt (3943.87755102, 0.0) (4168.36734694, 0.0) (3923.46938776, 0.0) (4168.36734694, 0.0, (-1000000.0, 0.0))
3299_4795_1249.txt (4059.18367347, 0.0) (4218.36734694, 0.0) (3766.32653061, 0.0) (4218.36734694, 0.0, (-1000000.0, 0.0))
5649_7514_5148.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 100.0))
5248_7379_4063.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4086.73469388, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
4183_5665_4918.txt (4145.91836735, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 100.0))
3398_4555_3436.txt (3588.7755102, 0.0) (3997.95918367, 0.0) (3584.69387755, 0.0) (3997.95918367, 0.0, (-1000000.0, 0.0))
5586_7785_3730.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4109.18367347, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
3943_5239_7071.txt (4138.7755102, 0.0) (4218.36734694, 0.0) (3873.46938776, 0.0) (4218.36734694, 0.0, (-1000000.0, 20.0))
257_363_5347.txt (3453.06122449, 0.0) (3836.73469388, 0.019) (3391.83673469, 0.0) (3788.7755102, 0.0, (-1000000.0, 10.0))
2253_3094_1620.txt (2724.48979592, 0.0) (3091.83673469, 0.008) (2659.18367347, 0.0) (2961.2244898, 0.0, (-1000000.0, 50.0))
1941_2865_2631.txt (3144.89795918, 0.0) (3434.69387755, 0.021) (3004.08163265, 0.0) (3343.87755102, 0.0, (-1000000.0, 10.0))
3308_4545_1489.txt (3900.0, 0.0) (4079.59183673, 0.001) (3584.69387755, 0.0) (3911.2244898, 0.0, (-1000000.0, 30.0))
5306_7414_5647.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 100.0))
3527_4873_5543.txt (3919.3877551, 0.0) (4107.14285714, 0.0) (3923.46938776, 0.0) (4107.14285714, 0.0, (-1000000.0, 30.0))
4767_6992_1709.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 100.0))
1469_2253_866.txt (2046.93877551, 0.0) (2112.24489796, 0.011) (1840.81632653, 0.0) (2054.08163265, 0.0, (-1000000.0, 50.0))
3221_4207_7196.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4159.18367347, 0.0) (4218.36734694, 0.0, (-1000000.0, 80.0))
2049_2931_5214.txt (4086.73469388, 0.0) (4218.36734694, 0.0) (4118.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
1635_2065_4068.txt (3142.85714286, 0.004) (3632.65306122, 0.049) (3190.81632653, 0.0) (3315.30612245, 0.0, (-1000000.0, 60.0))
1187_1773_2296.txt (2242.85714286, 0.006) (2383.67346939, 0.025) (2115.30612245, 0.0) (2309.18367347, 0.0, (-1000000.0, 50.0))
539_789_3959.txt (2961.2244898, 0.0) (3255.10204082, 0.072) (2881.63265306, 0.0) (3137.75510204, 0.0, (-1000000.0, 20.0))
2402_3047_5413.txt (3801.02040816, 0.001) (4218.36734694, 0.0) (3871.42857143, 0.0) (4218.36734694, 0.0, (-1000000.0, 10.0))
4267_5554_6307.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4055.10204082, 0.0) (4218.36734694, 0.0, (-1000000.0, 20.0))
